lane,kind,ok,prompt_tokens,completion_tokens,latency_ms,namespace,error
baseline,llm,True,316,0,0.0,,
toap,llm,True,316,0,0.0,,
baseline,llm,True,14,17,0.0,,
baseline,intercept,True,0,17,0.0,DB_SRC,
toap,llm,True,14,17,0.0,,
toap,intercept,True,0,17,0.12700000661425292,DB_SRC,
baseline,llm,True,7,14,0.0,,
baseline,intercept,True,0,14,0.0,DB_SRC,
toap,llm,True,7,14,0.0,,
toap,intercept,True,0,14,0.05089998012408614,DB_SRC,
baseline,llm,True,12,16,0.0,,
baseline,intercept,True,0,16,0.0,WEB_SRC,
toap,llm,True,12,15,0.0,,
toap,intercept,True,0,15,0.04149999585933983,WEB_SRC,
baseline,llm,True,12,16,0.0,,
baseline,intercept,True,0,16,0.0,DB_SRC,
toap,llm,True,12,15,0.0,,
toap,intercept,True,0,15,0.04600000102072954,DB_SRC,
baseline,llm,True,11,17,0.0,,
baseline,intercept,True,0,17,0.0,WEB_SRC,
toap,llm,True,11,16,0.0,,
toap,intercept,True,0,16,0.042100000428035855,WEB_SRC,
baseline,llm,True,13,16,0.0,,
baseline,intercept,True,0,16,0.0,DB_SRC,
toap,llm,True,13,15,0.0,,
toap,intercept,True,0,15,0.04199999966658652,DB_SRC,
baseline,llm,True,14,20,0.0,,
baseline,intercept,True,0,20,0.0,WEB_SRC,
toap,llm,True,14,19,0.0,,
toap,intercept,True,0,19,0.04370001261122525,WEB_SRC,
baseline,llm,True,15,18,0.0,,
baseline,intercept,True,0,18,0.0,DB_SRC,
toap,llm,True,15,18,0.0,,
toap,intercept,True,0,18,0.05810000584460795,DB_SRC,
