lane,kind,ok,prompt_tokens,completion_tokens,latency_ms,namespace,error
baseline,llm,True,316,0,0.0,,
toap,llm,True,316,0,0.0,,
baseline,llm,True,14,17,0.0,,
baseline,intercept,True,0,17,0.0,DB_SRC,
toap,llm,True,14,16,0.0,,
toap,intercept,True,0,16,0.5485000147018582,DB_SRC,
baseline,llm,True,7,14,0.0,,
baseline,intercept,True,0,14,0.0,DB_SRC,
toap,llm,True,7,12,0.0,,
toap,intercept,True,0,12,0.05110001075081527,DB_SRC,
baseline,llm,True,12,16,0.0,,
baseline,intercept,True,0,16,0.0,WEB_SRC,
toap,llm,True,12,14,0.0,,
toap,intercept,True,0,14,0.02340000355616212,WEB_SRC,
baseline,llm,True,12,16,0.0,,
baseline,intercept,True,0,16,0.0,DB_SRC,
toap,llm,True,12,13,0.0,,
toap,intercept,True,0,13,0.02449998282827437,DB_SRC,
baseline,llm,True,11,17,0.0,,
baseline,intercept,True,0,17,0.0,WEB_SRC,
toap,llm,True,11,14,0.0,,
toap,intercept,True,0,14,0.017799990018829703,WEB_SRC,
baseline,llm,True,13,16,0.0,,
baseline,intercept,True,0,16,0.0,DB_SRC,
toap,llm,True,13,14,0.0,,
toap,intercept,True,0,14,0.015400000847876072,DB_SRC,
baseline,llm,True,14,20,0.0,,
baseline,intercept,True,0,20,0.0,WEB_SRC,
toap,llm,True,14,17,0.0,,
toap,intercept,True,0,17,0.016000005416572094,WEB_SRC,
baseline,llm,True,15,18,0.0,,
baseline,intercept,True,0,18,0.0,DB_SRC,
toap,llm,True,15,15,0.0,,
toap,intercept,True,0,15,0.014899997040629387,DB_SRC,
